customer_id,age,gender,state,tenure_months,current_plan,contract_type,payment_method,data_usage_gb,minutes_used,sms_count,login_frequency,app_usage_score,support_calls_3mo,monthly_charges,late_payments_12mo,payment_issues,received_offer,upgraded,p_upgrade_no_offer,p_upgrade_with_offer,treatment_effect,ev_no_offer,ev_with_offer,optimal_action
CUST_00001,49,F,NC,48,Basic,Month-to-Month,Credit Card,17.10010010128173,362,96,2,47.472637998546816,1,21.182102430010772,0,0,1,0,0.5803146996830039,0.6612798957267678,0.08096519604376393,278.55105584784184,267.41434994884855,0
CUST_00002,39,F,FL,16,Basic,Month-to-Month,Electronic Check,16.836888248500085,680,107,2,15.30803135015035,4,32.00637331675354,0,0,1,1,0.4890946073678752,0.5987476566741412,0.10965304930626604,234.7654115365801,237.39887520358775,1
CUST_00003,51,M,NC,10,Basic,Month-to-Month,Bank Transfer,13.299715559510307,547,115,1,25.01383474534856,4,46.585729447335495,1,0,0,0,0.45617945564721696,0.6497180632400974,0.19353860759288039,218.96613871066415,261.86467035524674,1
CUST_00004,64,M,MI,26,Basic,One Year,Bank Transfer,34.20274680719129,600,99,12,14.351862018070655,0,26.835718884911394,0,0,0,1,0.46958647667082376,0.5993039245364438,0.12971744786562006,225.40150880199542,237.66588377749304,1
CUST_00005,38,M,CA,10,Basic,Month-to-Month,Bank Transfer,26.228964249169945,713,116,4,40.09542254856488,0,40.96234718767276,1,1,1,1,0.6933056721459631,0.98,0.45928254364369175,332.7867226300623,420.4,1
CUST_00006,38,F,IL,10,Basic,One Year,Bank Transfer,18.443645638636063,268,119,8,60.00414304991164,1,30.26786413319283,0,0,1,1,0.6026297104445859,0.7764932344317677,0.1738635239871817,289.26226101340126,322.71675252724845,1
CUST_00007,65,F,CA,31,Basic,Two Year,Bank Transfer,11.702759474758864,550,109,2,15.815786906921373,3,39.65478080749991,0,0,0,0,0.2952175792358686,0.41623816174906286,0.12102058251319425,141.70443803321695,149.79431763955017,1
CUST_00008,53,M,FL,8,Basic,Two Year,Electronic Check,10.598381220525921,460,107,6,35.70749813100034,2,24.28245963886934,0,0,1,1,0.42565150699894716,0.5363226942197171,0.11067118722076999,204.31272335949464,207.43489322546424,1
CUST_00009,34,F,IL,5,Basic,One Year,Electronic Check,9.409919308011004,536,101,7,32.64400988317973,3,23.934166972426894,0,1,0,0,0.37883889168203,0.649915625181209,0.2710767334991791,181.8426680073744,261.95950008698037,1
CUST_00010,50,M,TX,39,Basic,Month-to-Month,Bank Transfer,16.91163587507422,679,102,0,59.45991384239514,0,43.22844089378132,0,0,1,1,0.6461369786170528,0.7283705013145773,0.08223352269752447,310.14574973618534,299.6178406309971,0
CUST_00011,35,M,NY,39,Basic,One Year,Bank Transfer,8.382947937532778,419,103,10,28.300219070902305,0,26.54608824842442,0,0,1,1,0.5600631031826343,0.7325060346280163,0.17244293144538206,268.8302895276645,301.6028966214478,1
CUST_00012,35,F,PA,16,Basic,Month-to-Month,Credit Card,7.167599508595355,310,106,3,20.50642973531038,2,33.61889571681614,0,0,0,1,0.43013494824319215,0.5524532863701773,0.1223183381269852,206.46477515673223,215.17757745768512,1
CUST_00013,45,F,TX,17,Basic,Month-to-Month,Credit Card,1.811081562008734,239,106,8,29.117333822761672,1,49.277493017583296,1,0,0,1,0.407580614682386,0.6117207920084465,0.20414017732606055,195.63869504754527,243.62598016405434,1
