customer_id,age,gender,state,tenure_months,current_plan,contract_type,payment_method,data_usage_gb,minutes_used,sms_count,login_frequency,app_usage_score,support_calls_3mo,monthly_charges,late_payments_12mo,payment_issues,received_offer,upgraded
CUST_00001,49,F,NC,48,Basic,Month-to-Month,Credit Card,17.10010010128173,362,96,2,47.472637998546816,1,21.182102430010772,0,0,1,1
CUST_00002,39,F,FL,16,Basic,Month-to-Month,Electronic Check,16.836888248500085,680,107,2,15.30803135015035,4,32.00637331675354,0,0,1,1
CUST_00003,51,M,NC,10,Basic,Month-to-Month,Bank Transfer,13.299715559510307,547,115,1,25.01383474534856,4,46.585729447335495,1,0,0,0
CUST_00004,64,M,MI,26,Basic,One Year,Bank Transfer,34.20274680719129,600,99,12,14.351862018070655,0,26.835718884911394,0,0,0,1
CUST_00005,38,M,CA,10,Basic,Month-to-Month,Bank Transfer,26.228964249169945,713,116,4,40.09542254856488,0,40.96234718767276,1,1,1,1
CUST_00006,38,F,IL,10,Basic,One Year,Bank Transfer,18.443645638636063,268,119,8,60.00414304991164,1,30.26786413319283,0,0,1,1
CUST_00007,65,F,CA,31,Basic,Two Year,Bank Transfer,11.702759474758864,550,109,2,15.815786906921373,3,39.65478080749991,0,0,0,0
CUST_00008,53,M,FL,8,Basic,Two Year,Electronic Check,10.598381220525921,460,107,6,35.70749813100034,2,24.28245963886934,0,0,1,1
CUST_00009,34,F,IL,5,Basic,One Year,Electronic Check,9.409919308011004,536,101,7,32.64400988317973,3,23.934166972426894,0,1,0,0
CUST_00010,50,M,TX,39,Basic,Month-to-Month,Bank Transfer,16.91163587507422,679,102,0,59.45991384239514,0,43.22844089378132,0,0,1,1
CUST_00011,35,M,NY,39,Basic,One Year,Bank Transfer,8.382947937532778,419,103,10,28.300219070902305,0,26.54608824842442,0,0,1,1
CUST_00012,35,F,PA,16,Basic,Month-to-Month,Credit Card,7.167599508595355,310,106,3,20.50642973531038,2,33.61889571681614,0,0,0,1
CUST_00013,45,F,TX,17,Basic,Month-to-Month,Credit Card,1.811081562008734,239,106,8,29.117333822761672,1,49.277493017583296,1,0,0,1
CUST_00014,18,F,MI,28,Basic,One Year,Bank Transfer,8.12178230836553,800,87,6,19.090535371346455,0,27.85533301329776,1,0,0,0
CUST_00015,18,F,CA,17,Basic,Two Year,Mailed Check,17.065392040367765,441,104,4,24.897674756660166,2,40.01977119304478,0,1,1,1
CUST_00016,33,M,IL,12,Basic,Month-to-Month,Bank Transfer,3.2853650921506676,176,99,3,52.808247512061214,1,20.0,0,0,1,1
CUST_00017,26,F,NY,120,Basic,Month-to-Month,Bank Transfer,17.495571270732682,726,93,2,15.9369589039802,1,37.07179182907886,0,0,0,0
CUST_00018,46,F,NY,3,Basic,One Year,Credit Card,24.615548679973198,108,116,1,39.210658152043045,2,34.04512697593308,0,0,0,0
CUST_00019,28,F,FL,21,Basic,Month-to-Month,Bank Transfer,22.746493643118427,140,114,2,25.654612942184578,0,38.4276754691435,0,0,0,1
