Survived,Pclass,Age,SibSp,Parch,HasCabinInfo,FamilySize,IsAlone,logFare,FemaleClass1,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,3,22.0,1,0,False,2,0,2.1102132003465894,0,False,True,False,False,True
1,1,38.0,1,0,True,2,0,4.2805931204649,1,True,False,True,False,False
1,3,26.0,0,0,False,1,1,2.188856327665703,0,True,False,False,False,True
1,1,35.0,1,0,True,2,0,3.9908341858524357,1,True,False,False,False,True
0,3,35.0,0,0,False,1,1,2.2027647577118348,0,False,True,False,False,True
0,3,28.0,0,0,False,1,1,2.246892662898172,0,False,True,False,True,False
0,1,54.0,0,0,True,1,1,3.967694202798607,0,False,True,False,False,True
0,3,2.0,3,1,False,5,0,3.094445746490024,0,False,True,False,False,True
1,3,27.0,0,2,False,3,0,2.4959537387180646,0,True,False,False,False,True
1,2,14.0,1,0,False,2,0,3.436268471383741,0,True,False,True,False,False
1,3,4.0,1,1,True,3,0,2.8735646395797834,0,True,False,False,False,True
1,1,58.0,0,0,True,1,1,3.3160025355989236,1,True,False,False,False,True
0,3,20.0,0,0,False,1,1,2.2027647577118348,0,False,True,False,False,True
0,3,39.0,1,5,False,7,0,3.4742929367327062,0,False,True,False,False,True
0,3,14.0,0,0,False,1,1,2.180891922715322,0,True,False,False,False,True
1,2,55.0,0,0,False,1,1,2.833213344056216,0,True,False,False,False,True
0,3,2.0,4,1,False,6,0,3.405355391810819,0,False,True,False,True,False
1,2,28.0,0,0,False,1,1,2.639057329615259,0,False,True,False,False,True
0,3,31.0,1,0,False,2,0,2.9444389791664403,0,True,False,False,False,True
1,3,28.0,0,0,False,1,1,2.1071782966514356,0,True,False,True,False,False
0,2,35.0,0,0,False,1,1,3.295836866004329,0,False,True,False,False,True
1,2,34.0,0,0,True,1,1,2.639057329615259,0,False,True,False,False,True
1,3,15.0,0,0,False,1,1,2.2004637699272855,0,True,False,False,True,False
